Instance cominisatPS-DL cominisatPS
commutativity3.c.cnf 5000.01 5000.01
CNP-5-1800.cnf 59.0124 40.5884
sdiv25prop.cnf 5000.01 5000.02
Nb8T63.cnf 5000.01 5000.03
mod8-abd-yad.rules.7-7.cnf 53.8486 240.958
cms-scheel-md5-families-r24-c11-p1-4-6-9-10-11-13-15-17-18-19.cnf 80.553 29.6352
20180322_164238439_p_cnf_320_1120.cnf 5000.01 5000.01
sted1_0x1e3-200.cnf 5000.01 5000.01
Nb52T6.cnf 5000.04 5000.02
CNP-5-1900.cnf 23.4239 33.7538
T82.2.0.cnf 607.156 592.627
e_rphp065_05.cnf 5000.01 5000.17
20180322_164226378_p_cnf_320_1120.cnf 371.488 5000.01
Problem11_label29_false-unreach-call.c.cnf 1091.12 1212.18
CNP-5-1500.cnf 59.5115 532.42
course_flat_0.12_2018_3.cnf 5000.01 5000.03
CNP-5-800.cnf 910.66 45.908
mod8-bbd-zbd.rules.7-7.cnf 5000.01 5000.94
ramsey-32-4.cnf 1.81969 1.75719
20180321_110706599_p_cnf_320_1120.cnf 5000.01 5000.01
ex175_18.cnf 1390.96 1501.78
CNP-5-1100.cnf 219.679 447.331
gto_p50c345_1.cnf 5000.01 5000.01
patat-08-comp-3.cnf 12.2469 14.1345
sted5_0x0-50.cnf 819.951 72.2657
apn-sbox6-cut5-helpbox23.cnf 5000.01 5000.02
cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15.cnf 115.601 234.329
ex015_14.cnf 5000.01 5000.01
cms-scheel-md4-families-r24-c5-p1-8-9-16-19.cnf 1430.27 775.59
satcoin-genesis-SAT-9.cnf 5000.01 5000.01
ax-d-4-7-5.cnf 5000.01 5000.02
gto_p60c238.cnf 819.57 792.16
CNP-5-1300.cnf 10.9894 11.2093
5or7mod8.rules.7-7.cnf 5000.02 5000.01
20180322_164245263_p_cnf_320_1120.cnf 5000.01 5000.01
ex065_24.cnf 5000.01 5000.01
8-4-9.cnf 5000.02 5000.02
ecarev-110-1031-23-40-1.cnf 333.523 320.22
CNP-5-100.cnf 685.27 798.541
huck.col.11.cnf 62.9269 61.0612
factoring54018521x562448657.cnf 5000.01 5000.02
si2-b03m-m400-03.cnf 83.0726 88.3191
T116.2.0.cnf 320.59 458.73
uniqinv20prop.cnf 1898.23 3607.37
Nb8T60.cnf 5000.01 5000.01
sted1_0x24204-350.cnf 5000.01 5000.15
sted1_0x24204-330.cnf 303.75 162.974
ex067_10.cnf 858.093 1716.52
sqrt_ineq_3.c.cnf 5000.01 5000.03
udiv40prop.cnf 2387.12 1725.14
Nb13T165.cnf 5000.02 5000.02
Nb44T6.cnf 5000.04 3890.32
TimetableCNFEncoding_9_UNKNOWN.cnf 5000.01 5000.02
7-4-7.cnf 5000.01 5000.01
le450_15b.col.15.cnf 5000.01 5000.01
apn-sbox6-cut4-helpbox23.cnf 5000.01 5000.01
gto_p50c312.cnf 5000.02 5000.01
satcoin-genesis-SAT-3.cnf 5000.03 5000.01
CNP-5-300.cnf 107.007 190.18
a_rphp045_05.cnf 5000.02 5000.01
dist7.c.cnf 478.352 330.541
6-3-8.cnf 438.76 399.749
avg_true-unreach-call.i.cnf 2491.1 907.74
sted1_0x0-350.cnf 5000.01 5000.03
T77.2.0.cnf 635.68 851.66
lei450-05b-05.cnf 52.5531 46.7743
CNP-5-600.cnf 149.877 183.934
sqrt_ineq_2.c.cnf 690.605 125.769
ecarev-110-1031-23-40-3.cnf 267.881 208.8
le450_15a.col.15.cnf 5000.03 5000.01
cz-d-4-7-5.cnf 5000.02 5000.01
Karatsuba6972593x13466917.cnf 881.67 106.939
CNP-5-1400.cnf 54.8038 299.694
mchess_19.cnf 5000.02 5000.01
dist4.c.cnf 372.959 352.232
20180321_140823961_p_cnf_320_1120.cnf 5000.03 5000.01
uniqinv45prop.cnf 5000.01 5000.01
sted1_0x0-330.cnf 287.14 315.324
ex175_17.cnf 5000.01 5000.15
mchess_17.cnf 5000.01 5000.01
mchess_15.cnf 257.416 781.998
uniqinv30prop.cnf 5000.01 5000.01
ex187_10.cnf 99.6552 401.676
ecarev-110-4099-22-30-5.cnf 334.351 291.132
cms-scheel-md5-families-r24-c5-p6-11-15-16-19.cnf 553.83 631.804
20180326_095801070_p_cnf_320_1120.cnf 5000.02 5000.01
cms-scheel-md4-families-r24-c5-p0-7-10-15-19.cnf 8.038 8.71411
a_rphp035_05.cnf 2880.88 3210.2
satcoin-genesis-SAT-7.cnf 5000.01 5000.01
T87.2.0.cnf 1021.89 815.328
cms-scheel-md5-families-r24-c4-p1-3-4-16.cnf 106.998 69.4429
apn-sbox6-cut3-helpbox26.cnf 5000.02 5000.01
ae_rphp055_04.cnf 225.445 229.166
si2-r001-m200-09.cnf 830.523 856.573
ecarev-110-1031-23-40-5.cnf 327.701 330.243
T103.2.0.cnf 762.893 520.541
CNP-5-400.cnf 14.3453 42.7738
queen14_14.col.14.cnf 5000.01 5000.01
newton_3_6_false-unreach-call.i.cnf 411.998 597.288
9-4-9.cnf 5000.01 5000.02
mchess_18.cnf 5000.01 5000.01
satcoin-genesis-SAT-8192.cnf 5000.01 5000.15
satcoin-genesis-SAT-256.cnf 5000.01 5000.01
bibd-16-80-15-3-2_glb.cnf 5.57533 4.66121
CNP-5-500.cnf 411.829 270.711
sdiv20prop.cnf 5000.01 5000
T125.2.0.cnf 679.675 465.941
Nb37T6.cnf 1539.41 2095.57
sted5_0x24204-60.cnf 5000.02 5000.01
ex051_9.cnf 5000.03 5000.01
Nb51T6.cnf 5000.02 4180.3
TimetableCNFEncoding_16_UNKNOWN.cnf 5000.02 5000.01
course0.16_2018_3_5.cnf 5000.01 1890.24
sdiv17prop.cnf 3434.31 4058.85
by-X-2-7-100.cnf 1602.18 1460.44
cms-scheel-md5-families-r24-c6-p1-4-6-13-14-18.cnf 3724.81 4989.33
prime_119218851371.cnf 137.446 144.518
satcoin-genesis-SAT-4096.cnf 5000.01 5000.16
gto_p50c307.cnf 5000.01 5000.02
school1.col.14.cnf 5000.01 5000.01
ex065_25.cnf 5000.01 5000.01
udiv46prop.cnf 5000.01 5000.02
le450_25c.col.25.cnf 5000.02 5000.16
courses_flat_0.16_2017_9.cnf 275.287 5000.02
si2-b03m-m800-03.cnf 147.834 152.664
satcoin-genesis-SAT-1024.cnf 5000.02 5000.01
CNP-5-1700.cnf 69.7744 33.1265
Problem14_label14_false-unreach-call.c.cnf 81.1841 168.12
commutativity.c.cnf 5000.01 5000.01
courses0.12_2017_9.cnf 5000.03 5000.01
CNP-5-1200.cnf 54.8356 103.148
T90.2.0.cnf 606.807 619.623
