Instance cominisatPS-DL cominisatPS
mp1-squ_ali_s10x10_c39_sinx_SAT.cnf 46.4739 41.4337
g2-UR-20-5p1.cnf 1008.61 1470.93
mp1-klieber2017s-0490-023-t12.cnf 71.1669 320.556
g2-hwmcc15deep-beembkry8b1-k45.cnf 5000.01 4949.39
g2-hwmcc15deep-beemhanoi4b1-k37.cnf 5000.01 5000.01
g2-T154.1.0.cnf 1239.07 686.89
mp1-tri_ali_s11_c35_abix_UNS.cnf 69.9561 61.7545
mp1-23.5.cnf 5000.01 5000.12
mp1-21.9.cnf 141.624 12.6716
g2-ak128diagodiagoisc.cnf 5000.01 5000.01
g2-T96.1.1.cnf 5000.09 5000.1
mp1-21.3.cnf 14.5166 6.78446
mp1-klieber2017s-0300-032-t12.cnf 1608.18 5000.01
mp1-rubikcube220.cnf 5000.01 5000.01
mp1-blockpuzzle_5x10_s8_free3.cnf 484.298 426.745
mp1-rubikcube301.cnf 721.662 569.629
mp1-blockpuzzle_9x9_s4_free3.cnf 244.878 195.784
g2-gss-24-s100.cnf 2380.63 5000.01
mp1-Nb7T07.cnf 5000.01 5000.01
mp1-klieber2017s-1200-023-eq.cnf 2308.71 2732.04
mp1-Nb5T16.cnf 5000.02 5000.01
g2-T141.1.0.cnf 5000.03 5000.02
mp1-blockpuzzle_9x9_s1_free7.cnf 2178.94 358.613
mp1-21.4.cnf 65.5623 29.5703
mp1-9_49.cnf 357.952 860.29
g2-hwmcc15deep-6s366r-k72.cnf 3417.55 4080.7
g2-hwmcc15deep-6s340rb63-k22.cnf 2326.06 1316.37
mp1-blockpuzzle_5x10_s2_free5.cnf 349.956 302.711
mp1-klieber2017s-1000-024-eq.cnf 1831.62 2676.12
g2-Sz512_15128_1.smt2-cvc4.cnf 5000.03 4191.91
g2-ak128boothbg1btisc.cnf 8.62285 9.52607
g2-T75.2.0.cnf 223.898 244.294
mp1-24.4.cnf 5000.01 5000.01
mp1-ps_5000_21250_3_0_0.7_0_1.50_0.cnf 5000.02 5000.01
g2-gss-40-s100.cnf 5000 5000.01
mp1-Nb7T44.cnf 5000.01 5000.02
mp1-24.9.cnf 5000.01 5000.01
mp1-9_21.cnf 5000.01 5000.02
g2-T99.2.1.cnf 5000.01 5000.01
g2-ak128astepmodasaig.cnf 5000.02 5000.01
mp1-ps_5000_21250_3_0_0.7_0_1.50_8.cnf 5000.01 5000.14
mp1-9_24.cnf 5000.01 5000.01
g2-T133.2.1.cnf 5000.08 5000.1
mp1-24.5.cnf 5000.01 5000.02
g2-T155.1.0.cnf 12.9386 66.6003
g2-ak128boothdiagoaig.cnf 5000.03 5000.01
mp1-24.0.cnf 5000.01 5000.01
mp1-klieber2017s-0490-022-t12.cnf 87.7049 128.499
mp1-klieber2017s-0500-024-t12.cnf 95.1162 520.185
mp1-9_27.cnf 158.276 531.347
g2-ACG-20-10p1.cnf 3263.69 3667.53
mp1-ps_5000_21250_3_0_0.8_0_1.50_2.cnf 156.575 136.798
mp1-blockpuzzle_7x10_s9_free6.cnf 79.3216 84.7893
mp1-blockpuzzle_9x9_s8_free3.cnf 225.787 188.587
g2-T85.2.1.cnf 1698.95 1411.44
g2-T55.2.0.cnf 147.027 110.865
g2-ak128boothbg2msaig.cnf 5000.02 5000.01
g2-hwmcc15deep-6s33-k34.cnf 3019.17 2571.02
mp1-qpr-bmp280-driver-14.cnf 25.3651 34.7388
mp1-ps_5000_21250_3_0_0.7_0_1.45_8.cnf 5000.02 5000.01
g2-ak128modasbg1sbisc.cnf 4.10056 4.45255
mp1-blockpuzzle_9x9_s7_free9.cnf 80.6496 612.811
mp1-9_14.cnf 378.147 5000.12
mp1-klieber2017s-0300-034-t12.cnf 5000.01 3142.25
g2-ak128simpbbg2asaig.cnf 5000.01 5000.01
mp1-21.7.cnf 34.7145 34.9461
mp1-rubikcube701.cnf 832.957 496.223
g2-hwmcc15deep-oski15a10b06s-k24.cnf 5000.02 5000.01
mp1-Nb6T29.cnf 5000.01 5000.01
g2-hwmcc15deep-6s516r-k18.cnf 5000.01 5000.01
g2-ACG-20-5p1.cnf 1223.95 1974.52
g2-test_v5_r10_vr10_c1_s21502.smt2-cvc4.cnf 364.553 394.057
g2-T50.2.0.cnf 3941.98 5000.1
mp1-ps_5000_21250_3_0_0.8_0_1.60_6.cnf 5000.01 5000.01
mp1-9_3.cnf 111.677 110.338
mp1-22.7.cnf 1697.84 5000.11
mp1-klieber2017s-1200-022-eq.cnf 1385.92 1391.64
mp1-squ_ali_s10x10_c39_abix_SAT.cnf 112.606 503.679
mp1-21.6.cnf 28.5046 18.0247
g2-T58.2.0.cnf 288.189 171.986
g2-hwmcc15deep-oski15a14b04s-k16.cnf 2043.51 1412
mp1-9_1.cnf 689.932 862.736
g2-hwmcc15deep-beemlifts3b1-k29.cnf 5000.01 5000.03
mp1-ps_5000_21250_3_0_0.7_0_1.50_4.cnf 5000.02 5000.02
g2-hwmcc15deep-bob12s02-k16.cnf 5000.01 5000.01
mp1-24.1.cnf 5000.01 5000.01
mp1-blockpuzzle_5x10_s5_free3.cnf 328.636 242.869
mp1-9_11.cnf 23.2501 51.2179
mp1-21.8.cnf 14.2343 36.0886
mp1-23.1.cnf 5000.01 5000.01
g2-ak128modasmodasisc.cnf 5000.01 5000.14
mp1-Nb5T15.cnf 5000.01 5000.01
mp1-23.4.cnf 5000.03 5000.13
mp1-squ_ali_s10x10_c39_abio_SAT.cnf 129.823 312.49
g2-ak128diagobg1btaig.cnf 7.4193 7.22526
g2-newton.8.3.i.smt2-cvc4.cnf 24.9893 44.2526
mp1-blockpuzzle_9x9_s1_free9.cnf 904.648 1397.89
g2-gss-38-s100.cnf 5000.03 5000.01
mp1-tri_ali_s11_c35_sinz_UNS.cnf 33.2642 31.8891
mp1-ps_5000_21250_3_0_0.8_0_1.70_4.cnf 5000.01 5000.01
mp1-Nb6T25.cnf 5000.01 5000.01
g2-ak128astepbg1btisc.cnf 4.25709 4.06669
mp1-squ_any_s09x07_c27_abio_UNS.cnf 812.835 724.816
g2-hwmcc15deep-6s188-k46.cnf 5000.02 5000.01
mp1-klieber2017s-1200-024-eq.cnf 2871.17 3303.28
g2-gss-26-s100.cnf 5000.02 5000.01
g2-T108.2.1.cnf 5000.01 5000.06
mp1-ps_5000_21250_3_0_0.6_0_1.50_2.cnf 5000.01 5000
mp1-klieber2017s-0300-033-t12.cnf 5000.01 5000.01
mp1-Nb7T08.cnf 5000.01 5000.01
g2-hwmcc15deep-bobpcihm-k30.cnf 5000.03 5000.01
g2-ak128boothbg2msisc.cnf 5000.01 5000.01
mp1-24.3.cnf 5000.02 5000.02
mp1-rubikcube520.cnf 5000.02 5000.11
mp1-ps_5000_21250_3_0_0.8_0_1.60_4.cnf 5000.02 5000.01
g2-hwmcc15deep-6s341r-k19.cnf 5000.03 5000.01
g2-hwmcc15deep-oski15a14b30s-k24.cnf 5000.02 5000.01
mp1-ps_5000_21250_3_0_0.6_0_1.45_4.cnf 5000.02 5001.05
mp1-ps_5000_21250_3_0_0.7_0_1.50_2.cnf 5000.01 5000.02
g2-mizh-md5-47-3.cnf 704.451 324.74
g2-ak128astepbg2msisc.cnf 5000.01 5000.09
mp1-ps_5000_21250_3_0_0.7_0_1.45_6.cnf 5000.01 5000.01
mp1-22.0.cnf 5000.01 4265.37
g2-hwmcc15deep-intel065-k11.cnf 5000.01 5000.1
g2-test_v7_r7_vr5_c1_s14675.smt2-cvc4.cnf 48.2413 33.2968
mp1-rubikcube720.cnf 5000.01 5000.01
mp1-Nb5T07.cnf 5000.01 5000
mp1-blockpuzzle_5x10_s7_free4.cnf 316.605 310.238
mp1-bsat210-739.cnf 1596.98 2497.18
g2-T110.2.1.cnf 5000.04 5000.17
g2-hwmcc15deep-6s44-k38.cnf 3203.06 3422.37
mp1-ps_5000_21250_3_0_0.6_0_1.45_6.cnf 5000.01 5000.01
mp1-rubikcube901.cnf 455.158 299.766
g2-modgen-n200-m90860q08c40-6967.cnf 5000.01 5000.02
g2-ak128boothboothisc.cnf 5000.02 5000.02
mp1-9_34.cnf 406.206 5000.01
mp1-rubikcube820.cnf 5000.01 5000.01
g2-T104.1.0.cnf 5000.11 5000.06
mp1-21.2.cnf 7.81849 37.4136
g2-ak128diagobg2asaig.cnf 5000.01 5000.02
g2-T88.2.1.cnf 639.986 787.19
g2-hwmcc15deep-6s341r-k16.cnf 4431.27 3839.44
g2-ak128paralbg2asaig.cnf 5000.01 5000.04
mp1-rubikcube601.cnf 369.861 272.009
g2-hwmcc15deep-oski15a10b08s-k23.cnf 5000.02 5000.01
g2-ak128modbtbg1asaig.cnf 8.07982 8.11555
mp1-Nb6T30.cnf 5000.01 5000.01
g2-hwmcc15deep-6s399b02-k02.cnf 5000.01 5000.01
mp1-klieber2017s-0500-022-t12.cnf 50.5753 37.8305
g2-ak128modasbg1msisc.cnf 4.10173 4.04061
g2-UCG-15-10p1.cnf 1111.68 1094.65
mp1-blockpuzzle_8x8_s1_free4.cnf 303.229 250.669
mp1-klieber2017s-0490-024-t12.cnf 450.014 499.128
g2-ak128astepbg2asisc.cnf 5000.01 5000.01
g2-UTI-20-5p1.cnf 473.193 830.559
mp1-squ_any_s09x07_c27_abix_UNS.cnf 634.791 672.648
mp1-Nb6T06.cnf 30.021 27.7486
g2-hwmcc15deep-6s105-k35.cnf 3908.8 3942.71
mp1-22.8.cnf 286.98 2465.88
g2-slp-synthesis-aes-top26.cnf 5000.35 3844.19
mp1-9_9.cnf 226.938 378.123
g2-T1.2.1.cnf 5000.01 5000.01
mp1-ps_5000_21250_3_0_0.7_0_1.45_0.cnf 5000.01 5000.01
mp1-23.6.cnf 5000.02 5000.01
mp1-22.3.cnf 5000.01 4878.41
mp1-24.8.cnf 5000.01 5000.02
g2-hwmcc15deep-bobpcihm-k32.cnf 5000.02 5000.02
g2-T89.2.1.cnf 780.119 1495.34
mp1-squ_any_s09x07_c27_bail_UNS.cnf 925.479 646.932
g2-ak128boothmodasaig.cnf 5000.01 5000.01
mp1-ps_5000_21250_3_0_0.8_0_1.70_6.cnf 5000 5000.01
g2-T106.2.0.cnf 5000.13 5000.02
g2-hwmcc15deep-beemcmbrdg7f2-k32.cnf 5000.01 5000.02
g2-hwmcc15deep-beemhanoi4b1-k32.cnf 5000.03 5000.02
g2-T105.2.1.cnf 5000.08 5000.05
g2-hwmcc15deep-oski15a10b10s-k22.cnf 5000.03 5000.01
mp1-qpr-bmp280-driver-5.cnf 107.082 87.0067
g2-mult1.c.50.smt2-cvc4.cnf 24.7736 35.2624
mp1-23.7.cnf 5000.02 5000.02
mp1-ps_5000_21250_3_0_0.7_0_1.45_4.cnf 5000.01 5000.01
mp1-ps_5000_21250_3_0_0.6_0_1.50_4.cnf 5000.01 5000.01
mp1-ps_5000_21250_3_0_0.6_0_1.50_6.cnf 5000 5000.01
mp1-squ_any_s09x07_c27_sinz_UNS.cnf 293.62 358.405
mp1-Nb7T46.cnf 5000.01 5000.04
mp1-bsat192-689.cnf 172.361 152.073
mp1-ps_5000_21250_3_0_0.6_0_1.45_2.cnf 5000.01 5000.02
mp1-ps_5000_21250_3_0_0.8_0_1.60_2.cnf 5000.01 5000.01
mp1-blockpuzzle_9x9_s7_free8.cnf 4479.49 5000.01
g2-T49.2.0.cnf 5000.02 5000.03
mp1-ps_5000_21250_3_0_0.8_0_1.50_6.cnf 41.9696 37.3727
mp1-rubikcube212.cnf 5000.01 5000.29
mp1-ps_5000_21250_3_0_0.8_0_1.55_0.cnf 5000.01 5000.01
mp1-rubikcube512.cnf 5000.01 5000.01
mp1-9_12.cnf 354.219 4204.69
g2-T83.2.1.cnf 1809.5 2386.05
mp1-ps_5000_21250_3_0_0.8_0_1.55_6.cnf 5000.01 5000.12
mp1-ps_5000_21250_3_0_0.8_0_1.55_8.cnf 5000.01 5000.01
mp1-klieber2017s-1600-024-eq.cnf 5000.01 5000.01
mp1-rubikcube101.cnf 536.556 438.513
mp1-klieber2017s-1000-023-eq.cnf 2164.98 2483.89
g2-ak128paralparalisc.cnf 5000.01 5000.02
g2-UCG-20-10p1.cnf 2899.65 3335.86
g2-ak128paralsimpbaig.cnf 5000.02 5000.12
g2-mizh-md5-48-2.cnf 811.479 567.988
mp1-ps_5000_21250_3_0_0.7_0_1.50_6.cnf 5000.02 5000.02
g2-T135.1.1.cnf 949.342 811.218
mp1-9_19.cnf 5000.01 702.319
g2-ak128boothbg2asisc.cnf 5000.01 5000.02
mp1-rubikcube812.cnf 5000.01 5000.12
mp1-blockpuzzle_9x9_s1_free8.cnf 4334.31 5000.01
mp1-blockpuzzle_9x9_s8_free7.cnf 2947.88 896.216
mp1-rubikcube612.cnf 2366.64 3852.58
g2-slp-synthesis-aes-top24.cnf 5000.02 5000.11
mp1-ps_5000_21250_3_0_0.8_0_1.70_0.cnf 5000 5000.01
g2-hwmcc15deep-6s161-k17.cnf 5000.01 5000.01
g2-hwmcc15deep-6s44-k40.cnf 5000.01 5000.02
g2-T101.2.0.cnf 5000.02 5000.03
g2-modgen-n200-m90860q08c40-29667.cnf 5000.01 5000.01
mp1-rubikcube312.cnf 5000.03 5000.28
mp1-ps_5000_21250_3_0_0.8_0_1.60_0.cnf 5000.01 5000.01
mp1-rubikcube120.cnf 5000.01 5000.02
mp1-23.0.cnf 5000.02 5000.01
mp1-9_25.cnf 5000.01 5000.01
mp1-Nb7T45.cnf 5000.01 5000.01
mp1-23.8.cnf 5000.01 5000.13
g2-gss-22-s100.cnf 5000.01 5000.01
mp1-24.6.cnf 5000.01 5000.01
g2-gss-36-s100.cnf 5000.01 5000.01
mp1-rubikcube012.cnf 5000.01 5000.01
g2-hwmcc15deep-intel032-k84.cnf 5000.02 5000.01
mp1-ps_5000_21250_3_0_0.8_0_1.60_8.cnf 5000.01 5000.01
mp1-Nb5T14.cnf 5000.02 5000.13
mp1-24.7.cnf 5000.02 5000.02
g2-hwmcc15deep-beemfwt4b1-k48.cnf 5000.02 5000.03
